SMILES,ID,r_i_docking_score,Product,Similarity_to_query,BB,Reaction_name,BB_source,BB_URL,mw,logp,hba,hbd,tpsa,qed,num_rotatable_bonds,fsp3,esol,pka,logd,cns_mpo_score,stoplight_color,plot_color
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2cccc(C(F)(F)F)c2)cs1,enum-027480,-9.41677,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2cccc(C(F)(F)F)c2)cs1,0.52,NCC(O)c1cccc(C(F)(F)F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-145628,452.458,3.192,5,4,107.11,0.442,7,0.25,14.741,2.389,2.718,3.314,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N(C)C[C@H](O)COc2ccc(C(F)(F)F)cc2)cs1,enum-040009,-9.00505,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N(C)CC(O)COc2ccc(C(F)(F)F)cc2)cs1,0.48,CNCC(O)COc1ccc(C(F)(F)F)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-51132,496.511,3.24,6,3,107.55,0.422,9,0.318,16.867,2.392,2.56,3.206,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CO)c2cc(F)c(F)c(F)c2)cs1,enum-015352,-8.95125,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CO)c2cc(F)c(F)c(F)c2)cs1,0.56,Cl.NC(CO)c1cc(F)c(F)c(F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-117419,438.431,2.59,5,4,107.11,0.426,7,0.211,64.807,2.381,2.296,3.722,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2c(C)[nH]c3ccccc23)cs1,enum-033978,-8.92344,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2c(C)[nH]c3ccccc23)cs1,0.51,Cc1[nH]c2ccccc2c1C(O)CN,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1709324,437.525,2.963,5,5,122.9,0.305,7,0.227,30.515,2.669,2.021,3.436,yellow,gold
COc1ccc(Cl)cc1NC(=O)CCNC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,enum-040307,-8.8058,COc1ccc(Cl)cc1NC(=O)CCNC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,0.48,COc1ccc(Cl)cc1NC(=O)CCN,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-98462,475.958,3.13,6,4,125.21,0.378,9,0.238,16.932,4.386,2.617,2.798,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](O)c2cccc(OCc3ccccc3)c2)cs1,enum-040874,-8.79444,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2cccc(OCc3ccccc3)c2)cs1,0.47,NCC(O)c1cccc(OCc2ccccc2)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-107828,490.585,3.752,6,4,116.34,0.27,10,0.192,5.592,2.414,3.117,2.255,red,red
COC(=O)[C@H](NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(F)c(C)c1,enum-029017,-8.75752,COC(=O)C(NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(F)c(C)c1,0.52,COC(=O)C(N)c1ccc(F)c(C)c1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-140009,444.488,2.801,6,3,113.18,0.485,7,0.238,20.038,2.369,2.483,3.549,yellow,gold
COc1ccc([C@@H](O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1OC,enum-025732,-8.73606,COc1ccc(C(O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1OC,0.53,COc1ccc(C(O)CN)cc1OC,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-144212,444.513,2.19,7,4,125.57,0.401,9,0.286,57.168,2.39,1.765,3.396,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2cccc(OC3CCCC3)c2)cs1,enum-041912,-8.67975,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2cccc(OC3CCCC3)c2)cs1,0.46,NCC(O)c1cccc(OC2CCCC2)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1709917,468.579,3.494,6,4,116.34,0.384,9,0.375,10.794,2.397,2.776,2.711,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(=O)c2cc3ccccc3s2)cs1,enum-024754,-8.66086,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(=O)c2cc3ccccc3s2)cs1,0.53,Cl.NCC(=O)c1cc2ccccc2s1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-364364,438.534,3.537,6,3,103.95,0.384,7,0.143,2.193,2.403,3.076,3.334,red,red
COc1ccc([C@@](C)(O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,enum-017991,-8.65591,COc1ccc(C(C)(O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,0.55,COc1ccc(C(C)(O)CN)cc1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-6486572,428.514,2.356,6,4,116.34,0.44,8,0.286,36.675,2.394,2.187,3.539,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CCO)c2ccc(Cl)c(F)c2)cs1,enum-033341,-8.63329,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CCO)c2ccc(Cl)c(F)c2)cs1,0.51,NC(CCO)c1ccc(Cl)c(F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-323193,450.923,3.356,5,4,107.11,0.422,8,0.25,19.417,2.389,2.712,3.246,red,red
Cc1ccccc1C[C@H](CO)NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,enum-018715,-8.60549,Cc1ccccc1CC(CO)NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,0.55,Cc1ccccc1CC(N)CO,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-171136,412.515,2.351,5,4,107.11,0.456,8,0.286,104.519,2.394,2.408,3.85,yellow,gold
Cc1cc(C)cc([C@H](CO)NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)c1,enum-008884,-8.55434,Cc1cc(C)cc(C(CO)NC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)c1,0.58,Cc1cc(C)cc(C(N)CO)c1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1707776,412.515,2.79,5,4,107.11,0.479,7,0.286,31.174,2.404,2.262,3.923,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](c2ccc(Cl)cc2)n2cccn2)cs1,enum-037356,-8.5399,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(c2ccc(Cl)cc2)n2cccn2)cs1,0.49,NCC(c1ccc(Cl)cc1)n1cccn1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-102422,468.97,3.579,6,3,104.7,0.367,8,0.182,11.03,2.735,2.936,3.141,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@](C)(O)c2ccc(F)cc2)cs1,enum-015367,-8.53798,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(C)(O)c2ccc(F)cc2)cs1,0.56,CC(O)(CN)c1ccc(F)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-118152,416.478,2.486,5,4,107.11,0.475,7,0.25,47.448,2.398,2.236,3.909,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCC(=O)Nc2ccccn2)cs1,enum-026309,-8.50351,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCC(=O)Nc2ccccn2)cs1,0.53,Cl.Cl.NCCC(=O)Nc1ccccn1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-39420,412.475,1.863,6,4,128.87,0.449,8,0.211,41.393,4.508,2.026,3.612,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2cc(Cl)c3c(c2)OCCO3)cs1,enum-040864,-8.50212,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2cc(Cl)c3c(c2)OCCO3)cs1,0.47,NCC(O)c1cc(Cl)c2c(c1)OCCO2,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-83156,476.942,2.598,7,4,125.57,0.415,7,0.286,41.319,2.409,2.092,3.119,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](CCCC(=O)[O-])c2ccccc2)cs1,enum-015455,-8.48068,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(CCCC(=O)O)c2ccccc2)cs1,0.56,Cl.NC(CCCC(=O)O)c1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-7434092,440.525,3.436,5,4,124.18,0.384,10,0.273,22.02,2.389,0.675,3.207,red,red
CSc1ccc(C(=O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,enum-010502,-8.45348,CSc1ccc(C(=O)CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,0.57,CSc1ccc(C(=O)CN)cc1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-24211338,428.539,3.044,6,3,103.95,0.378,8,0.2,17.569,2.39,2.704,3.838,red,red
COc1ccc2[nH]c3c(c2c1)C[C@H](NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)CC3,enum-042524,-8.45039,COc1ccc2[nH]c3c(c2c1)CC(NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)CC3,0.44,COc1ccc2[nH]c3c(c2c1)CC(N)CC3,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-128177,463.563,3.487,5,4,111.9,0.351,6,0.292,15.648,2.846,2.895,2.839,yellow,gold
COC(=O)[C@H](NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(OC)c(O)c1,enum-029092,-8.43693,COC(=O)C(NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1)c1ccc(OC)c(O)c1,0.52,COC(=O)C(N)c1ccc(OC)c(O)c1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-141028,458.496,2.068,8,4,142.64,0.379,8,0.238,112.95,2.361,1.35,3.296,red,red
CCOC(=O)[C@@H](Cc1cccc(F)c1)NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,enum-037895,-8.40276,CCOC(=O)C(Cc1cccc(F)c1)NC(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,0.49,CCOC(=O)C(N)Cc1cccc(F)c1.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1700262,458.515,2.753,6,3,113.18,0.427,9,0.273,41.577,2.382,2.534,3.423,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N2C[C@@H](O)C[C@@H](NC(=O)OC(C)(C)C)C2)cs1,enum-034377,-8.39613,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N2CC(O)CC(NC(=O)OC(C)(C)C)C2)cs1,0.51,CC(C)(C)OC(=O)NC1CNCC(O)C1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-5268252,463.56,1.81,7,4,136.65,0.534,5,0.524,242.191,2.418,1.591,3.26,yellow,gold
Cc1ccc(Oc2ccccc2CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,enum-028878,-8.38826,Cc1ccc(Oc2ccccc2CNC(=O)c2csc(CNC(=O)c3cc[nH]c3C)n2)cc1,0.52,Cc1ccc(Oc2ccccc2CN)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-70688,460.559,4.74,5,3,96.11,0.354,8,0.16,0.514,2.42,4.583,2.375,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@@H](C(=O)[O-])c2ccc(CO)cc2)cs1,enum-008008,-8.36822,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C(=O)O)c2ccc(CO)cc2)cs1,0.58,Cl.NC(C(=O)O)c1ccc(CO)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-299457,428.47,1.758,6,5,144.41,0.37,8,0.2,270.064,2.371,0.868,3.511,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](C)c2cccc(C(C)(C)C)c2)cs1,enum-028213,-8.35266,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(C)c2cccc(C(C)(C)C)c2)cs1,0.52,CC(CN)c1cccc(C(C)(C)C)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1765782,438.597,4.541,4,3,86.88,0.506,7,0.375,1.822,2.417,4.002,2.835,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@](C)(O)c2ccccc2)cs1,enum-004755,-8.34848,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(C)(O)c2ccccc2)cs1,0.6,CC(O)(CN)c1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-77661,398.488,2.347,5,4,107.11,0.49,7,0.25,61.95,2.398,2.152,4.079,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2ccc(Cl)c(Cl)c2)cs1,enum-016636,-8.34114,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2ccc(Cl)c(Cl)c2)cs1,0.55,NCC(O)c1ccc(Cl)c(Cl)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-252235,453.351,3.48,5,4,107.11,0.44,7,0.211,13.544,2.403,2.799,3.124,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](c2ccccc2)c2cccc(OC(F)F)c2)cs1,enum-035049,-8.32719,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(c2ccccc2)c2cccc(OC(F)F)c2)cs1,0.5,NC(c1ccccc1)c1cccc(OC(F)F)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-6478202,496.539,4.83,5,3,96.11,0.309,9,0.16,4.304,2.395,3.901,2.122,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](C)C[C@@H](O)c2ccccc2)cs1,enum-011258,-8.31565,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)CC(O)c2ccccc2)cs1,0.57,CC(N)CC(O)c1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-106539,412.515,2.952,5,4,107.11,0.456,8,0.286,49.107,2.4,2.323,3.893,yellow,gold
COC(=O)[C@H]1c2ccc(O)cc2CCN1C(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,enum-040879,-8.30572,COC(=O)C1c2ccc(O)cc2CCN1C(=O)c1csc(CNC(=O)c2cc[nH]c2C)n1,0.47,COC(=O)C1NCCc2cc(O)ccc21.Cl,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-7421344,454.508,2.328,7,3,124.62,0.508,5,0.273,113.264,2.384,1.477,3.492,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@@H](c2cccs2)c2c[nH]c3ccccc23)cs1,enum-038781,-8.30089,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(c2cccs2)c2c[nH]c3ccccc23)cs1,0.49,NCC(c1cccs1)c1c[nH]c2ccccc12,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-07385,489.626,4.814,5,4,102.67,0.251,8,0.16,0.393,2.679,3.906,1.792,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCCO[C@@H]2CCCc3ccccc32)cs1,enum-042499,-8.26518,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCCOC2CCCc3ccccc32)cs1,0.45,Cl.NCCCOC1CCCc2ccccc21,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-77102,452.58,3.924,5,3,96.11,0.429,9,0.375,4.381,2.429,3.078,3.301,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)N[C@H](C)CC(=O)Nc2ccccc2)cs1,enum-015704,-8.25511,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC(C)CC(=O)Nc2ccccc2)cs1,0.56,CC(N)CC(=O)Nc1ccccc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-1704205,425.514,2.857,5,4,115.98,0.444,8,0.238,61.338,4.086,2.384,3.474,yellow,gold
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCC(=O)Nc2cc(Cl)cc(Cl)c2)cs1,enum-022002,-8.25188,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCCC(=O)Nc2cc(Cl)cc(Cl)c2)cs1,0.54,NCCC(=O)Nc1cc(Cl)cc(Cl)c1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-224739,480.377,3.775,5,4,115.98,0.393,8,0.2,2.048,3.953,3.103,2.335,red,red
Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NC[C@H](O)c2ccc(OC(C)C)cc2)cs1,enum-021155,-8.25094,Cc1[nH]ccc1C(=O)NCc1nc(C(=O)NCC(O)c2ccc(OC(C)C)cc2)cs1,0.54,CC(C)Oc1ccc(C(O)CN)cc1,amide_coupling-1,EU_stock,https://www.enaminestore.com/catalog/EN300-79323,442.541,2.96,6,4,116.34,0.407,9,0.318,22.019,2.397,2.198,3.433,yellow,gold
