https://fragalysis.diamond.ac.uk/viewer/react/projects/311/278,,,,,
smiles,name,compound_set,red,red-text,blue
O=C1NC[C@@H](NC(=O)c2cscn2)NC1=O,CHIKV_Mac-9T6K,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C(N[C@H]1CNC(=O)[S@@H]2CCN(C(=O)c3cccc(F)c3)C[C@H]12)c1cscn1,CHIKV_Mac-66N3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1[CH][C@@H]2CN(C(=O)c3cccc(F)c3)C[C]2[C@@H](NC(=O)c2cscn2)CN1,CHIKV_Mac-CMDX,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(C[C@@H]2CC[C@H]3CN(C(=O)c4cccc(F)c4)CC[C@H]3C[C@H]2O)no1,CHIKV_Mac-4DFJ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2CC[C@@]3(CCN(C(=O)c4cccc(F)c4)C3)CC2=O)no1,CHIKV_Mac-79NC,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1nsc(N[C@@H]2CCC[C@]23CS[C@@H](c2nc[nH]n2)N3)n1,CHIKV_Mac-D9S7,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1nsc(N[C@@H]2CCC[C@]23CS[C@@H](c2nc[nH]n2)N3)n1,CHIKV_Mac-5UVL,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@@H]1NS[C@H](N[C@@H]2CCC[C@H]2CO)N1c1cccc(NC(N)=O)c1,CHIKV_Mac-57EK,Fstein_pures_others_-2024-04-05-A,TRUE,red,TRUE
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,CHIKV_Mac-9EZU,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1nsc(N[C@@H]2C[C@@]3(CNCC[C@@H]3CCNC(=O)c3ccccc3F)C[C@H]2CO)n1,CHIKV_Mac-9VUT,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1nsc(N[C@@H]2CCC[C@]23CCNC3=O)n1,CHIKV_Mac-4SZ9,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1nsc(N[C@@H]2CCC[C@]23CCNC3=O)n1,CHIKV_Mac-6NWR,Fstein_pures_others_-2024-04-05-A,,,TRUE
NC(=O)c1cnn(CC(O)(O)N[C@@H]2CCC(=O)NC2)c1,CHIKV_Mac-5GZH,Fstein_pures_others_-2024-04-05-A,,,TRUE
NC(=O)c1nc(C(O)(O)N[C@@H]2CCC(=O)NC2)cs1,CHIKV_Mac-7Z6X,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(C)c(Cc3cnn(-c4ccccc4)c3)cc2=O)no1,CHIKV_Mac-7G6X,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Nc1nc2ccc(O[C@@H]3CCC[C@H]3CO)cc2s1,CHIKV_Mac-6DRP,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1C[C@@]2(CNC(=O)c3ccccc3F)c3ccncc3[C@@H](c3cscn3)N[C@H]2CN1,CHIKV_Mac-CAKZ,Fstein_pures_others_-2024-04-05-A,,,TRUE
O=C1C[C@@]2(CNC(=O)c3ccccc3F)c3ccncc3[C@@H](c3cscn3)N[C@H]2CN1,CHIKV_Mac-934A,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cc1ncsc1C(=O)NCC(=O)N(C)c1cnccc1CCNC(=O)c1ccccc1F,CHIKV_Mac-976T,Fstein_pures_others_-2024-04-05-A,,,TRUE
N[C@@H]1N[C@@]2(N[C@H](C(=O)N[C@@H]3CCC(=O)NC3)CS2)c2ccccc21,CHIKV_Mac-4SJH,Fstein_pures_others_-2024-04-05-A,TRUE,red,
N[C@@H]1N[C@@]2(N[C@H](C(=O)N[C@@H]3CCC(=O)NC3)CS2)c2ccccc21,CHIKV_Mac-AFVS,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(NC(=O)c3ccccc3F)c(-c3ccncc3)cc2=O)no1,CHIKV_Mac-D5ET,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2cc(NC(=O)c3ccccc3F)c(-c3ccncc3)cc2=O)no1,CHIKV_Mac-WYWV,Fstein_pures_others_-2024-04-05-A,,,TRUE
CN(c1nc(Cn2ccccc2=O)no1)c1noc2ccccc12,CHIKV_Mac-5XU9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
N[C@H]1C[C@@]2(CCN1)N[C@H](C(=O)N[C@@H]1CCC(=O)NC1)CS2,CHIKV_Mac-4SRR,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Nc1ccc(N[C@@H]2CCC[C@H]2CO)cn1,CHIKV_Mac-ZRL5,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(CN2C[C@@]3(CCC2=O)C(=O)N(c2ccccc2)N=C3C)no1,CHIKV_Mac-AWXW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2C[C@@]3(CCC2=O)C(=O)N(c2ccccc2)N=C3C)no1,CHIKV_Mac-4FVC,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1ncc2c(c1C(=O)NCc1cccs1)c(=O)oc1ccccc12,CHIKV_Mac-6NYR,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1c(C(=O)N[C@@H]2CCC(=O)NC2)n[nH]c1-c1ccncc1,CHIKV_Mac-7CLZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCc2[nH]nc(-c3ccncc3)c2CC1,CHIKV_Mac-7CAV,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1onc(Cn2ccccc2=O)c1Cc1c[nH]nc1-c1ccncc1,CHIKV_Mac-C5K5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1onc(Cn2ccccc2=O)c1Cc1c[nH]nc1-c1ccncc1,CHIKV_Mac-W4DX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
COCc1onc(C(N)=O)c1C(F)F,CHIKV_Mac-CNT6,Fstein_pures_others_-2024-04-05-A,TRUE,red,
COC[C@H]1ON[C@H]2[C@@H]1CCCN[C@@H]2N,CHIKV_Mac-W5CU,Fstein_pures_others_-2024-04-05-A,TRUE,red,
COCc1onc2c(N)ncc(C)c12,CHIKV_Mac-D9U7,Fstein_pures_others_-2024-04-05-A,,,TRUE
[O-][n+]1ccsc1-c1nc[nH]n1,CHIKV_Mac-6WTM,Fstein_pures_others_-2024-04-05-A,,,TRUE
Cn1c(N)nc2cccc(NCc3cccs3)c21,CHIKV_Mac-AGY9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1c(N)nn2cccc(NCc3cccs3)c12,CHIKV_Mac-5DLX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,CHIKV_Mac-CJ66,Fstein_pures_others_-2024-04-05-A,,,TRUE
CN(C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-797A,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](C(=O)c1ccc(O)cc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-5HT4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@]3(CCNC(=O)C3)N2)CN1,CHIKV_Mac-6A9F,Fstein_pures_others_-2024-04-05-A,,,TRUE
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@]3(CCNC(=O)C3)N2)CN1,CHIKV_Mac-4ATZ,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCO[C@@](O)(OCc1cccs1)c1c(C)n[nH]c1C,CHIKV_Mac-6HWM,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCC[C@H]1Nc1snc2nccc(Br)c12,CHIKV_Mac-DMK3,Fstein_pures_others_-2024-04-05-A,,,TRUE
COC(=O)c1cnc2[nH]cc(N[C@@H]3CCC[C@H]3CO)cc1-2,CHIKV_Mac-ARJ4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1n[nH]c(C)c1-c1nc(C(=O)N[C@@H]2CC[C@H](O)NC2)cs1,CHIKV_Mac-ALYA,Fstein_pures_others_-2024-04-05-A,,,TRUE
COC(=O)c1cnc2[nH]cc([C@@H](C)c3nc(Cn4ccccc4=O)no3)cc1-2,CHIKV_Mac-6F6C,Fstein_pures_others_-2024-04-05-A,,,TRUE
COC(=O)c1cnc2[nH]cc([C@@H](C)c3nc(Cn4ccccc4=O)no3)cc1-2,CHIKV_Mac-D4TZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCO/C(=N\[C@H]1CCC[C@H]1CO)c1c(C)n[nH]c1C,CHIKV_Mac-4WE6,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1C[C@H](N2CCN[C@H](CC3CCCCC3)C2=O)[C@@H](NC(=O)c2cscn2)CN1,CHIKV_Mac-A6W5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,CHIKV_Mac-5U93,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOC(=O)c1c(CCc2nc(Cn3ccccc3=O)no2)n[nH]c1C,CHIKV_Mac-A95R,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1ccncc1NC(=O)C[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,CHIKV_Mac-4MET,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1ccncc1NC(=O)C[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,CHIKV_Mac-9GS3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,CHIKV_Mac-7PGA,Fstein_pures_others_-2024-04-05-A,,,TRUE
NC(=O)c1cc2scc(C(=O)N[C@@H]3CCC(=O)NC3)c2cc1N,CHIKV_Mac-ACUX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)[C@H]1C[C@@H](Cl)[C@]2(CC[C@@H](CO)C2)C[C@H]1N,CHIKV_Mac-9LJX,Fstein_pures_others_-2024-04-05-A,,,TRUE
CNc1cc2c(NCc3cccs3)cccn2n1,CHIKV_Mac-6TLW,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2cc(C(=O)Nc3cnccc3C)ccc2=O)no1,CHIKV_Mac-734S,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2cc(C(=O)Nc3cnccc3C)ccc2=O)no1,CHIKV_Mac-DVH7,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1cc(Cl)ccc1NCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-DEDK,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1cc(Cl)ccc1CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-6RV3,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNC(=O)c1c2c(cc3c1=NC=C3)=CC(C(=O)N[C@@H]1CCC(=O)NC1)=N2,CHIKV_Mac-CRTL,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNC(=O)C1=C2N=CC=C2C=S2C=C(C(=O)N[C@@H]3CCC(=O)NC3)N=C12,CHIKV_Mac-CMEZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNc1cnc2c(n1)[C@@]1(CCC2)N[C@H](C(=O)N[C@@H]2CCC(=O)NC2)CS1,CHIKV_Mac-ANJD,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(C(=O)c1cccc2cc[nH]c12)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-59EY,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](C(=O)c1cccc2cc[nH]c12)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-A3VX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNc1cnc2ccc([C@@H]3CCC[C@H]3CO)cc2n1,CHIKV_Mac-9E39,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNc1cnc2cc([C@@H](C)c3nc(Cn4ccccc4=O)no3)ccc2n1,CHIKV_Mac-9NR5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CNc1cnc2cc([C@@H](C)c3nc(Cn4ccccc4=O)no3)ccc2n1,CHIKV_Mac-65VJ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(C(=O)c1cn[nH]c1)[C@H]1C[C@H](O)NC[C@@H]1NC(=O)c1cscn1,CHIKV_Mac-7Y6V,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(C(=O)c1cn[nH]c1)[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,CHIKV_Mac-C7CM,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)c3cn[nH]c3)ccc2=O)no1,CHIKV_Mac-54ML,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)c3cn[nH]c3)ccc2=O)no1,CHIKV_Mac-4WZT,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1nsc(N[C@@H]2C[C@H](Oc3ccc(O)nc3)[C@H]2CO)n1,CHIKV_Mac-4TYF,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@@]3(CCNc4[nH]ccc43)N2)CN1,CHIKV_Mac-D6SS,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C1CC[C@@H](NC(=O)[C@@H]2CS[C@]3(CCNc4[nH]ccc43)N2)CN1,CHIKV_Mac-5SDH,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1nc(N)ccc1O[C@@H]1CCC[C@H]1CO,CHIKV_Mac-4XNP,Fstein_pures_others_-2024-04-05-A,,,TRUE
CC(=O)N[C@@H]1C[C@H](NC(N)=O)CC[C@@]12CN[C@H](C(=O)N[C@@H]1CCC(=O)NC1)C2,CHIKV_Mac-7RHE,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1nc(N)ccc1Oc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-VSWP,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-DM4F,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)Nc1cccc2c1OCc1nsc(N[C@@H]3CCC[C@H]3CO)c1-2,CHIKV_Mac-4U4U,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCC[C@H]1Nc1cnc2[nH]ccc2c1,CHIKV_Mac-CSET,Fstein_pures_others_-2024-04-05-A,,,TRUE
NC(=O)Nc1cccc(NC(=O)CCc2nc(Cn3ccccc3=O)no2)c1,CHIKV_Mac-4X6S,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)Nc1cccc(NC(=O)CCc2nc(Cn3ccccc3=O)no2)c1,CHIKV_Mac-6VHG,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1cnc2[nH]ccc2c1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-CX94,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cn1nccc1C(=O)NCN1CCNC1=O,CHIKV_Mac-C7RF,Fstein_pures_others_-2024-04-05-A,,,TRUE
CC[C@H](N)Nc1cccc([C@@H](CS)C(=O)N[C@@H]2CCC(=O)NC2)c1,CHIKV_Mac-CAEZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=C(N[C@H]1CN(CCO)C(=O)C[C@H]1Br)c1cscn1,CHIKV_Mac-6T4X,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,CHIKV_Mac-STY5,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2ccc(Br)cc2=O)no1,CHIKV_Mac-9GJR,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2ccc(Br)cc2=O)no1,CHIKV_Mac-63WU,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cn2ccc(Cn3cnc4ccccc43)cc2=O)no1,CHIKV_Mac-DMNY,Fstein_pures_others_-2024-04-05-A,,,TRUE
CCc1nc(Cc2cc(Cn3cnc4ccccc43)ccc2C#N)no1,CHIKV_Mac-C57K,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOc1ncccc1C(=O)N(C)c1ccc(=O)n(Cc2noc(CC)n2)c1,CHIKV_Mac-4PCS,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCOc1ncccc1C(=O)N(C)c1ccc(=O)n(Cc2noc(CC)n2)c1,CHIKV_Mac-6YCT,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2C[S@H]3C(=O)N(c4ccccc4F)C[C@H]3CC2=O)no1,CHIKV_Mac-5N5K,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN1C(=O)N(C)c2ncn(C)c2/C1=C\Cc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-A9L6,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CCc2nc3ccccc3[nH]2)n1,CHIKV_Mac-7MX4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CCc2nc3ccccc3[nH]2)n1,CHIKV_Mac-44CY,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(C)c(Cc3cnn(-c4ccccc4)c3)cc2=O)no1,CHIKV_Mac-4GWF,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,CHIKV_Mac-PSTZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)c(Cl)c1,CHIKV_Mac-UX6Y,Fstein_pures_others_-2024-04-05-A,TRUE,red,
NC(=O)c1scc(C(=O)N[C@@H]2CCC(=O)NC2)c1Cl,CHIKV_Mac-D4K5,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,CHIKV_Mac-9WVW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](CCc1nc(Cn2ccccc2=O)no1)C(N)=NO,CHIKV_Mac-CNTN,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)c2ccccc12,CHIKV_Mac-5WFH,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H]1C[C@H](C)N[C@H]2[C@H]1C(=O)NN2CCc1nc(Cn2ccccc2=O)no1,CHIKV_Mac-44UT,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cc1cc(C)c2c(n1)C(CCc1nc(Cn3ccccc3=O)no1)=NC2=O,CHIKV_Mac-AWX4,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(C2=C(NCc3cccs3)c3ccnn3C2)n1,CHIKV_Mac-E4NV,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)COc3cccc(F)c3)ccc2=O)no1,CHIKV_Mac-P5AC,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(Cn2cc(N(C)C(=O)COc3cccc(F)c3)ccc2=O)no1,CHIKV_Mac-7XXW,Fstein_pures_others_-2024-04-05-A,TRUE,red,
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,CHIKV_Mac-TUUX,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CN(c1nc(Cn2ccccc2=O)no1)c1nccc2ccccc12,CHIKV_Mac-CMPU,Fstein_pures_others_-2024-04-05-A,TRUE,red,
O=c1ccccn1Cc1noc(CC[C@@H]2Cc3cc(CO)ccc3O2)n1,CHIKV_Mac-5ZV7,Fstein_pures_others_-2024-04-05-A,TRUE,red,
OC[C@@H]1CCC[C@H]1c1ccc2c(n1)CCCN2,CHIKV_Mac-7UGG,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@H]1c2onc(Cn3ccccc3=O)c2O[C@@]12CC[C@@H]1N[C@H](N)S[C@@H]1C2,CHIKV_Mac-AJHY,Fstein_pures_others_-2024-04-05-A,TRUE,red,
Cn1cc(C(N)=O)c([C@@](C)(F)c2nc(Cn3ccccc3=O)no2)n1,CHIKV_Mac-6J97,Fstein_pures_others_-2024-04-05-A,,,TRUE
C[C@@H](c1nc(Cn2ccccc2=O)no1)c1cnc(N)cc1Br,CHIKV_Mac-5EHZ,Fstein_pures_others_-2024-04-05-A,TRUE,red,
CCc1nc(CN2C[C@@]3(CCN[C@H](CC4CCCCC4)C3=O)CCC2=O)no1,CHIKV_Mac-ARY9,Fstein_pures_others_-2024-04-05-A,TRUE,red,
