https://fragalysis.diamond.ac.uk/viewer/react/projects/313/280,,,,,
smiles,name,compound_set,red,red-text,blue
Cn1nccc1C(=O)NCc1csc(-c2ncn[nH]2)n1,CHIKV_Mac-DA33,SeeSAR_Manual-2024-04-04-C,TRUE,red,
Cc1nsc(N[C@@H]2CCC[C@H]2c2csc(-c3nc[nH]n3)n2)n1,CHIKV_Mac-PUCY,SeeSAR_Manual-2024-04-04-C,TRUE,red,
CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,CHIKV_Mac-4C9X,SeeSAR_Manual-2024-04-04-C,TRUE,red,
O=C1CC[C@H](Cn2cnccc2=O)N1,CHIKV_Mac-93TE,SeeSAR_Manual-2024-04-04-C,TRUE,red,
O=c1ccncn1C[C@H]1CCS(=O)(=O)C1,CHIKV_Mac-4V49,SeeSAR_Manual-2024-04-04-C,TRUE,red,
O=S1(=O)CCc2nc(-c3nccs3)nn2C1,CHIKV_Mac-4EMG,SeeSAR_Manual-2024-04-04-C,TRUE,red,
O=C1C=CC2=NC(c3nccs3)=NC2=N1,CHIKV_Mac-7ARY,SeeSAR_Manual-2024-04-04-C,,,TRUE
O=S(=O)(Nc1ccccn1)c1cccc(Cc2cccs2)c1O,CHIKV_Mac-5DTT,SeeSAR_Manual-2024-04-04-C,TRUE,red,
O=C(NCc1cccs1)S(=O)(=O)Nc1ccccn1,CHIKV_Mac-7KK5,SeeSAR_Manual-2024-04-04-C,TRUE,red,
